k;description;category
845921;Machine-tools: for drilling by removing metal, numerically controlled;container
845929;Machine-tools: for drilling by removing metal, other than numerically controlled;container
845931;Machine-tools: for boring-milling by removing metal, numerically controlled;container
845939;Machine-tools: for boring-milling by removing metal, other than numerically controlled;container
845941;Machine-tools: for boring by removing metal, numerically controlled boring machines, n.e.c. in heading 8459;container
845949;Machine-tools: for boring by removing metal, not numerically controlled boring machines, n.e.c. in heading 8459;container
845951;Machine-tools: for milling by removing metal, knee-type, numerically controlled;container
845959;Machine-tools: for milling by removing metal, knee-type, other than numerically controlled;container
845961;Machine-tools: for milling by removing metal, (not knee-type), numerically controlled;container
845969;Machine-tools: for milling by removing metal, not knee-type, other than numerically controlled;container
845970;Machine-tools: for threading or tapping by removing metal;container
846012;Machine-tools: flat-surface grinding machines, numerically controlled;container
846019;Machine-tools: flat-surface grinding machines, other than numerically controlled;container
846022;Machine-tools: grinding machines (excluding flat-surface), centreless, numerically controlled;container
846023;Machine-tools: cylindrical grinding machines (excluding flat-surface and centreless), numerically controlled;container
846024;Machine-tools: grinding machines (excluding flat-surface, cylindrical and centreless), numerically controlled;container
846029;Machine-tools: grinding machines (excluding flat-surface), other than numerically controlled;container
846031;Machine-tools: sharpening (tool or cutter grinding) machines, numerically controlled;container
846039;Machine-tools: sharpening (tool or cutter grinding) machines, other than numerically controlled;container
846040;Machine-tools: for honing or lapping;container
846090;Machine-tools: for deburring, grinding, polishing or otherwise finishing metal, sintered metal carbides or cermets by means of grinding stones, abrasives or polishing products, n.e.c. in heading no. 8460;container
846120;Machine-tools: shaping or slotting machines, working by removing metal, sintered metal carbides or cermets;container
846130;Machine-tools: broaching machines, working by removing metal, sintered metal carbides or cermets;container
846140;Machine-tools: gear cutting, gear grinding or gear finishing machines, working by removing metal, sintered metal carbides or cermets;container
846150;Machine-tools: sawing or cutting-off machines, working by removing metal, sintered metal carbides or cermets;container
846190;Machine-tools: planing machines, and other machine-tools n.e.c. in heading no. 8461: working by removing metal, sinistered metal carbides or cerments.;container
846210;Machine-tools: forging or die-stamping machines (including presses) and hammers, for working metal;container
846221;Machine-tools: bending, folding, straightening or flattening machines (including presses), numerically controlled, for working metal;container
846229;Machine-tools: bending, folding, straightening or flattening machines (including presses), (other than numerically controlled), for working metal;container
846231;Machine-tools: shearing machines (including presses), (other than combined punching and shearing machines), numerically controlled, for working metal;container
846239;Machine-tools: shearing machines (including presses), (other than combined punching and shearing machines, other than numerically controlled), for working metal;container
846241;Machine-tools: punching or notching machines (including presses), including combined punching and shearing machines, numerically controlled, for working metal;container
846249;Machine-tools: punching or notching machines (including presses), including combined punching and shearing machines, (not numerically controlled), for working metal;container
846291;Machine-tools: presses for working metal or metal carbides, n.e.c. in heading no. 8462, hydraulic presses;container
846299;Machine-tools: presses for working metal or metal carbides, n.e.c. in heading no. 8462, other than hydraulic presses;container
846310;Machine-tools: for working metal, sintered metal carbides or cermets, without removing material, draw-benches for bars, tubes, profiles, wire or the like;container
846320;Machine-tools: for working metal, sintered metal carbides or cermets, without removing material, thread rolling machines;container
846330;Machine-tools: machines for working wire, without removing material;container
846390;Machine-tools: for working metal, sintered metal carbides or cermets, without removing material, n.e.c. in heading no. 8463;container
846410;Machine-tools: sawing machines, for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass;container
846420;Machine-tools: grinding or polishing machines, for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass;container
846490;Machine-tools: for working stone, ceramics, concrete, asbestos-cement or like mineral materials or for cold working glass, (other than sawing, grinding or polishing machines);container
846510;Machine-tools: which can carry out different types of machining operations without tool change between such operations, for working wood, cork, bone, hard rubber, hard plastics or similar;container
846520;Machine-tools: for working wood, cork, bone, hard rubber, hard plastics or similar hard materials: machining centres;container
846591;Machine-tools: for working wood, cork, bone, hard rubber, hard plastics or similar hard materials: sawing machines;container
846592;Machine-tools: for working wood, cork, bone, hard rubber, hard plastics or similar hard materials: planing, milling or moulding (by cutting) machines;container
846593;Machine-tools: for working wood, cork, bone, hard rubber, hard plastics or similar hard materials: grinding, sanding or polishing machines;container
846594;Machine-tools: for working wood, cork, bone, hard rubber, hard plastics or similar hard materials: bending or assembling machines;container
846595;Machine-tools: for working wood, cork, bone, hard rubber, hard plastics or similar hard materials: drilling or morticing machines;container
846596;Machine-tools: for working wood, cork, bone, hard rubber, hard plastics or similar hard materials: splitting, slicing or paring machines;container
846599;Machine-tools: for working wood, cork, bone, hard rubber, hard plastics or similar hard materials: n.e.c. in heading no. 8465;container
846610;Parts & accessories suited for use solely/principally with machines of headings 8456-8465: tool holders and self-opening dieheads;container
846620;Parts & accessories suited for use solely/principally with machines of headings 8456-8465: work holders;container
846630;Parts & accessories suited for use solely/principally with machines of headings 8456-8465: dividing heads and other special attachments for machines;container
846691;Parts & accessories suited for use solely/principally: for the machines of heading no. 8464, n.e.c. in heading no. 8466;container
846692;Parts & accessories suited for use solely/principally for the machines of heading no. 8465, n.e.c. in heading no. 8466;container
846693;Parts & accessories suited for use solely/principally with machines of headings 8456-8465: n.e.c. in heading no. 8466;container
846694;Machine-tools: parts and accessories, for the machines of heading no. 8462 or 8463, n.e.c. in heading no. 8466;container
846711;Tools: for working in the hand, pneumatic, rotary type (including combined rotary-percussion);container
846719;Tools: for working in the hand, pneumatic, other than rotary type;container
846721;Tools: for working in the hand, with self-contained electric motor: drills of all kinds;container
846722;Tools: for working in the hand, with self-contained electric motor: saws;container
846729;Tools: for working in the hand, with self-contained electric motor: other than saws and drills;container
846781;Tools: for working in the hand, chain saws with self-contained non-electric motor;container
846789;Tools: for working in the hand, (other than chain saws), hydraulic or with self-contained non-electric motor, (not pneumatic);container
846791;Tools: for working in the hand, parts of chain saws, with self-contained non-electric motor;container
846792;Tools: for working in the hand, parts of pneumatic tools;container
846799;Tools: for working in the hand, parts thereof for other than chain saws and pneumatic tools;container
846810;Machinery and apparatus: hand-held blow pipes for soldering, brazing or welding, whether or not capable of cutting;container
846820;Machinery and apparatus: gas operated machinery and apparatus n.e.c. in item no. 8468.10, for soldering, brazing or welding, whether or not capable of cutting;container
846880;Machinery and apparatus: for soldering, brazing or welding, whether or not capable of cutting, n.e.c. in heading no. 8468;container
846890;Machinery and apparatus: parts, soldering, brazing or welding, whether or not capable of cutting, parts thereof;container
847010;Calculating machines: electronic calculators capable of operation without an external source of electric power and pocket-size data recording, reproducing and displaying machines with calculating functions;container
847021;Calculating machines: electronic, incorporating a printing device, needing an external source of power;container
847029;Calculating machines: electronic, (not incorporating a printing device), needing an external power source;container
847030;Calculating machines: non-electronic;container
847050;Cash registers;container
847090;Machines incorporating a calculating device: n.e.c. in heading no. 8470;container
847130;Automatic data processing machines: portable, weighing not more than 10kg, consisting of at least a central processing unit, a keyboard and a display;container
847141;Automatic data processing machines: comprising in the same housing at least a central processing unit and an input and output unit, whether or not combined, n.e.c. in item no. 8471.30;container
847149;Automatic data processing machines: presented in the form of systems, n.e.c. in item no. 8471.30 or 8471.41;container
847150;Units of automatic data processing machines: processing units other than those of item no. 8471.41 or 8471.49, whether or not containing in the same housing one or two of the following types of unit: storage units, input units or output units;container
847160;Units of automatic data processing machines: input or output units, whether or not containing storage units in the same housing;container
847170;Units of automatic data processing machines: storage units;container
847180;Units of automatic data processing machines: n.e.c. in item no. 8471.50, 8471.60 or 8471.70;container
847190;Magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included;container
847210;Office machines: duplicating machines;container
847230;Office machines: for sorting or folding mail or for inserting mail in envelopes or bands, machines for opening, closing or sealing mail and machines for affixing or cancelling postage stamps;container
847290;Office machines: not elsewhere classified;container
847321;Calculating machines: parts and accessories of the electronic calculating machines of item no. 8470.10, 8470.21 or 8470.29 (other than covers, carrying cases and the like);container
847329;Machinery: parts and accessories of the machines of item no. 8470.30. 8470.50 or 8470.90 (other than covers, carrying cases and the like);container
847330;Machinery: parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8471;container
847340;Machinery: parts and accessories (other than covers, carrying cases and the like) of the machines of heading no. 8472;container
847350;Machines: parts and accessories (other than covers, carrying cases and the like) equally suitable for use with machines of two or more of the headings 8470 to 8472;container
847410;Machines: for sorting, screening, separating or washing earth, stone, ores or other mineral substances;container
847420;Machines: for crushing or grinding earth, stone, ores or other mineral substances;container
847431;Machines: concrete or mortar mixers;container
847432;Machines: for mixing mineral substances with bitumen;container
847439;Machines: for mixing or kneading mineral substances, excluding concrete mixers and machines for mixing mineral substances with bitumen;container
847480;Machines: for agglomerating, shaping or moulding solid mineral fuels, ceramic paste, unhardened cements, plastering materials in powder or paste form, machines for forming foundry moulds of sand;container
847490;Machines, for sorting, screening, separating, washing, crushing etc mineral substances, for agglomerating, shaping or moulding solid fuels, ceramic pastes etc, for forming foundry moulds of sand: parts;container
847510;Machines: for assembling electric or electronic lamps, tubes, valves or flash-bulbs, in glass envelopes;container
847521;Machines: for manufacturing or hot working glass or glassware, for making optical fibres and preforms thereof;container
847529;Machines: for manufacturing or hot working glass or glassware, not for making optical fibres and preforms thereof;container
847590;Machines: parts, of those for assembling electric or electronic lamps, tubes, valves or flash-bulbs, in glass envelopes and manufacturing or hot working glass or glassware;container
847621;Machines: automatic beverage-vending machines, incorporating heating or refrigerating devices;container
847629;Machines: automatic beverage-vending machines, not incorporating heating or refrigerating devices;container
847681;Machines: automatic goods-vending machines, (e.g. postage stamp, cigarette, food or money-changing machines, excluding beverage-vending machines), incorporating heating or refrigerating devices;container
847689;Machines: automatic goods-vending machines, (e.g. postage stamp, cigarette, food or money-changing machines, excluding beverage-vending machines), not incorporating heating or refrigerating devices;container
847690;Machines: parts of automatic goods-vending machines;container
847710;Machinery: injection-moulding machines, for working rubber or plastics or for the manufacture of products from these materials;container
847720;Machinery: extruders, for working rubber or plastics or for the manufacture of products from these materials;container
847730;Machinery: blow moulding machines, for working rubber or plastics or for the manufacture of products from these materials;container
847740;Machinery: vacuum moulding machines and other thermoforming machines, for working rubber or plastics or for the manufacture of products from these materials;container
847751;Machinery: for moulding or retreading pneumatic tyres or for moulding or otherwise forming inner tubes;container
847759;Machinery: for moulding or forming, for working rubber or plastics or for the manufacture of products from these materials, n.e.c. in this chapter;container
847780;Machinery: for working rubber or plastics or for the manufacture of products from these materials, n.e.c. in this chapter;container
847790;Machinery: parts of the machines of heading no. 8477, n.e.c. in item no. 8477.90;container
847810;Machinery: for preparing or making up tobacco, n.e.c. in this chapter;container
847890;Machinery: parts of those for preparing or making up tobacco, n.e.c. in this chapter;container
847910;Machinery and mechanical appliances: for public works, building or the like;container
847920;Machinery: for the extraction or preparation of animal or fixed vegetable fats or oils;container
847930;Machinery and mechanical appliances: presses for the manufacture of particle or fibre building board of wood or other ligneous materials and other machinery for treating wood or cork;container
847940;Machines: for making rope or cable;container
847950;Machinery and mechanical appliances: industrial robots, n.e.c. or included;container
847960;Machinery and mechanical appliances: evaporative air coolers;container
847971;Machinery and mechanical appliances: passenger boarding bridges, of a kind used in airports;container
847979;Machinery and mechanical appliances: passenger boarding bridges, other than of a kind used in airports;container
847981;Machines and mechanical appliances: for treating metal, including electric wire coil-winders;container
847982;Machines: for mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring;container
847989;Machines and mechanical appliances: having individual functions, n.e.c. or included in this chapter;container
847990;Machines and mechanical appliances: parts, of those having individual functions;container
848010;Moulding boxes: for metal foundry;container
848020;Mould bases: for metal, metal carbides, glass, mineral materials, rubber or plastics;container
848030;Moulding patterns: of metal, metal carbides, glass, mineral materials, rubber or plastics;container
848041;Moulds: for metal or metal carbides, injection or compression types;container
848049;Moulds: for metal or metal carbides, other than injection or compression types;container
848050;Moulds: for glass;container
848060;Moulds: for mineral materials;container
848071;Moulds: for rubber or plastics, injection or compression types;container
848079;Moulds: for rubber or plastics, other than injection or compression types;container
848110;Valves: pressure reducing, for pipes, boiler shells, tanks, vats or the like;container
848120;Valves: for oleohydraulic or pneumatic transmissions;container
848130;Valves: check (nonreturn) valves, for pipes, boiler shells, tanks, vats or the like;container
848140;Valves: safety or relief valves, for pipes, boiler shells, tanks, vats or the like;container
848180;Taps, cocks, valves and similar appliances: for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves;container
848190;Taps, cocks, valves and similar appliances: parts thereof;container
848210;Ball bearings;container
848220;Bearings: tapered roller bearings, including cone and tapered roller assemblies;container
848230;Bearings: spherical roller bearings;container
848240;Bearings: needle roller bearings;container
848250;Bearings: cylindrical roller bearings n.e.c. in heading no. 8482;container
848280;Bearings: n.e.c. in heading no. 8482, including combined ball/roller;container
848291;Bearings: parts, balls, needles and rollers;container
848299;Bearings: parts, (other than balls, needles and rollers);container
848310;Transmission shafts (including cam shafts and crank shafts) and cranks;container
848320;Bearing housings, incorporating ball or roller bearings;container
848330;Bearing housings, not incorporating ball or roller bearings and plain shaft bearings;container
848340;Gears and gearing: (not toothed wheels, chain sprockets and other transmission elements presented separately): ball or roller screws: gear boxes and other speed changers, including torque converters;container
848350;Pulleys and flywheels, including pulley blocks;container
848360;Clutches and shaft couplings (including universal joints);container
848390;Transmission components: toothed wheels, chain sprockets and other transmission elements presented separately: parts;container
848410;Gaskets and similar joints: of metal sheeting combined with other material or two or more layers of metal;container
848420;Seals: mechanical;container
848490;Gasket sets or assortments of gaskets and similar joints: dissimilar in composition, put up in pouches, envelopes or similar packings;container
848610;Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers;container
848620;Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor devices or of electronic integrated circuits;container
848630;Machines and apparatus of a kind used solely or principally for the manufacture of flat panel displays;container
848640;Machines and apparatus of a kind used solely or principally for the manufacture or repair of masks and reticles, assembling semiconductor devices or electronic integrated circuits, or for lifting, handling, loading or unloading items of heading 8486;container
848690;Machines and apparatus of heading 8486: parts and accessories;container
848710;Ships' or boats' propellers and blades therefor;container
848790;Machinery parts: not containing electrical connectors, insulators, coils, contacts or other electrical features, n.e.c. in chapter 84, other than ships' or boats' propellers and blades therefor;container
850110;Electric motors: of an output not exceeding 37.5W;container
850120;Electric motors: universal AC/DC of an output exceeding 37.5W;container
850131;Electric motors and generators: DC, of an output not exceeding 750W;container
850132;Electric motors and generators: DC, of an output exceeding 750W but not exceeding 75kW;container
850133;Electric motors and generators: DC, of an output exceeding 75kW but not exceeding 375kW;container
850134;Electric motors and generators: DC, of an output exceeding 375kW;container
850140;Electric motors: AC motors, single-phase;container
850151;Electric motors: AC motors, multi-phase, of an output not exceeding 750W;container
850152;Electric motors: AC motors, multi-phase, of an output exceeding 750W but not exceeding 75kW;container
850153;Electric motors: AC motors, multi-phase, of an output exceeding 75kW;container
850161;Generators: AC generators, (alternators), of an output not exceeding 75kVA;container
850162;Electric generators: AC generators, (alternators), of an output exceeding 75kVA but not exceeding 375kVA;container
850163;Electric generators: AC generators, (alternators), of an output exceeding 375kVA but not exceeding 750kVA;container
850164;Electric generators: AC generators, (alternators), of an output exceeding 750kVA;container
850211;Electric generating sets: with compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of an output not exceeding 75kVA;container
850212;Electric generating sets: with compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of an output exceeding 75kVA but not exceeding 375kVA;container
850213;Electric generating sets: with compression-ignition internal combustion piston engines (diesel or semi-diesel engines), of an output exceeding 375kVA;container
850220;Electric generating sets: with spark-ignition internal combustion piston engines;container
850231;Electric generating sets: wind-powered, (excluding those with spark-ignition or compression-ignition internal combustion piston engines);container
850239;Electric generating sets: (excluding those with spark-ignition or compression-ignition internal combustion piston engines), other than wind powered;container
850240;Electric rotary converters;container
850300;Electric motors and generators: parts suitable for use solely or principally with the machines of heading no. 8501 or 8502;container
850410;Discharge lamps or tubes: ballasts therefor;container
850421;Electrical transformers: liquid dielectric, having a power handling capacity not exceeding 650kVA;container
850422;Electrical transformers: liquid dielectric, having a power handling capacity exceeding 650kVA but not exceeding 10,000kVA;container
850423;Electrical transformers: liquid dielectric, having a power handling capacity exceeding 10,000kVA;container
850431;Electrical transformers: n.e.c. in item no. 8504.2, having a power handling capacity not exceeding 1kVA;container
850432;Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 1kVA but not exceeding 16kVA;container
850433;Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 16kVA but not exceeding 500kVA;container
850434;Transformers: n.e.c. in item no. 8504.2, having a power handling capacity exceeding 500kVA;container
850440;Electrical static converters;container
850450;Electrical inductors: n.e.c. in heading no. 8504;container
850490;Electrical transformers, static converters and inductors: parts thereof;container
850511;Magnets: permanent magnets and articles intended to become permanent magnets after magnetisation, of metal;container
850519;Magnets: permanent magnets and articles intended to become permanent magnets after magnetisation, other than of metal;container
850520;Magnets: electro-magnetic couplings, clutches and brakes;container
850590;Magnets: electro-magnets, holding devices and parts n.e.c. in heading no. 8505;container
850610;Cells and batteries: primary, manganese dioxide;container
850630;Cells and batteries: primary, mercuric oxide;container
850640;Cells and batteries: primary, silver oxide;container
850650;Cells and batteries: primary, lithium;container
850660;Cells and batteries: primary, air-zinc;container
850680;Cells and batteries: primary, (other than manganese dioxide, mercuric oxide, silver oxide, lithium or air-zinc);container
850690;Cells and batteries: primary, parts thereof;container
850710;Electric accumulators: lead-acid, of a kind used for starting piston engines, including separators, whether or not rectangular (including square);container
850720;Electric accumulators: lead-acid, (other than for starting piston engines), including separators, whether or not rectangular (including square);container
850730;Electric accumulators: nickel-cadmium, including separators, whether or not rectangular (including square);container
850740;Electric accumulators: nickel-iron, including separators, whether or not rectangular (including square);container
850750;Electric accumulators: nickel-metal hydride, including separators, whether or not rectangular (including square);container
850760;Electric accumulators: lithium-ion, including separators, whether or not rectangular (including square);container
850780;Electric accumulators: other than lead-acid, nickel-cadmium, nickel-iron, nickel-metal hydride and lithium-ion, including separators, whether or not rectangular (including square);container
850790;Electric accumulators: parts n.e.c. in heading no. 8507;container
850811;Vacuum cleaners, with self-contained electric motor, of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20L;container
850819;Vacuum cleaners, with self-contained electric motor, n.e.c. in item no. 8508.1;container
850860;Vacuum cleaners, other than with a self-contained electric motor;container
850870;Parts of vacuum cleaners;container
850940;Electro-mechanical domestic appliances: food grinders and mixers, fruit or vegetable juice extractors, with self-contained electric motor;container
850980;Electro-mechanical domestic appliances: with self-contained electric motor, other than vacuum cleaners of heading 85.08, n.e.c. in heading no. 8509;container
850990;Electro-mechanical domestic appliances: parts for the appliances of heading no. 8509;container
851010;Shavers: with self-contained electric motor;container
851020;Hair clippers: with a self-contained electric motor;container
851030;Hair-removing appliances: with self-contained electric motor;container
851090;Shavers and hair clippers: parts of those with self-contained electric motor;container
851110;Ignition or starting equipment: spark plugs, of a kind used for spark or compression-ignition internal combustion engines;container
851120;Ignition or starting equipment: ignition magnetos, magneto-dynamos and magnetic flywheels, of a kind used for spark or compression-ignition internal combustion engines;container
851130;Ignition or starting equipment: distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal combustion engines;container
851140;Ignition or starting equipment: starter motors and dual purpose starter-generators, of a kind used for spark or compression-ignition internal combustion engines;container
851150;Ignition or starting equipment: generators n.e.c. in heading no. 8511, of a kind used for spark or compression-ignition internal combustion engines;container
851180;Ignition or starting equipment: n.e.c. in heading no. 8511, of a kind used for spark or compression-ignition internal combustion engines;container
851190;Ignition or starting equipment: parts of the equipment of heading no. 8511, for use in spark-ignition or compression-ignition internal combustion engines;container
851210;Lighting or visual signalling equipment: electrical, of a kind used on bicycles, excluding articles of heading no. 8539;container
851220;Lighting or visual signalling equipment: electrical, of a kind used on motor vehicles (excluding articles of heading no. 8539);container
851230;Sound signalling equipment: electrical, used on cycles or motor vehicles (excluding articles of heading no. 8539);container
851240;Windscreen wipers, defrosters and demisters: electrical, of kinds used for cycles or motor vehicles;container
851290;Lighting or signalling equipment: electrical, (excluding articles of heading no. 8539), windscreen wipers, defrosters and demisters: parts, of those kinds used for cycles or motor vehicles;container
851310;Lamps: portable, electric, designed to function by their own source of energy (excluding lighting equipment of heading no. 8512);container
851390;Lamps: parts of portable, electric lamps of heading no. 8513, designed to function by their own source of energy;container
851410;Furnaces and ovens: electric, for industrial or laboratory use, resistance heated;container
851420;Furnaces and ovens: electric, for industrial or laboratory use, functioning by induction or dielectric loss;container
851430;Furnaces and ovens: electric, for industrial or laboratory use, other than those functioning by induction, dielectric loss or resistance heated;container
851440;Heating equipment: for the heat treatment of materials by induction or dielectric loss, industrial or laboratory, other than furnaces and ovens;container
851490;Furnaces, ovens and heating equipment: parts of the industrial or laboratory equipment of heading no. 8514;container
851511;Brazing or soldering machines and apparatus: soldering irons and guns, whether or not capable of cutting;container
851519;Brazing or soldering machines and apparatus: other than soldering irons and guns, whether or not capable of cutting;container
851521;Welding machines and apparatus: for resistance welding of metal, fully or partly automatic, whether or not capable of cutting;container
851529;Welding machines and apparatus: for resistance welding of metal, other than fully or partly automatic, whether or not capable of cutting;container
851531;Welding machines and apparatus: for arc (including plasma arc) welding of metals, fully or partly automatic, whether or not capable of cutting;container
851539;Welding machines and apparatus: for arc (including plasma arc) welding of metals, other than fully or partly automatic, whether or not capable of cutting;container
851580;Welding machines and apparatus: n.e.c. in heading no. 8515, whether or not capable of cutting;container
851590;Welding, brazing or soldering machines: parts of the machines of heading no. 8515;container
851610;Heaters: electric, instantaneous or storage water and immersion heaters;container
851621;Heating apparatus: electric storage heating radiators;container
851629;Heating apparatus: electric soil heating apparatus and space heating apparatus (excluding storage heating radiators);container
851631;Hair-dressing apparatus: electro-thermic hair dryers;container
851632;Hair-dressing apparatus: electro-thermic, other than hair dryers;container
851633;Hand-drying apparatus: electro-thermic;container
851640;Smoothing irons: electric;container
851650;Ovens: microwave, of a kind used for domestic purposes;container
851660;Ovens, cookers, cooking plates, boiling rings, grillers and roasters: of a kind used for domestic purposes (excluding microwaves);container
851671;Electro-thermic appliances: coffee or tea makers, of a kind used for domestic purposes;container
851672;Electro-thermic appliances: toasters, of a kind used for domestic purposes;container
851679;Electro-thermic appliances: n.e.c. in heading no. 8516, used for domestic purposes;container
851680;Resistors: electric heating, other than those of heading no. 8545;container
851690;Electro-thermic appliances: parts, of heating resistors, of water, space and soil heaters, hair-dressing apparatus, hand dryers, smoothing irons and other domestic appliances of heading no. 8516;container
851711;Line telephone sets with cordless handsets;container
851712;Telephones for cellular networks or for other wireless networks;container
851718;Telephone sets n.e.c. in item no. 8517.1;container
851761;Base stations;container
851762;Communication apparatus (excluding telephone sets or base stations): machines for the reception, conversion and transmission or regeneration of voice, images or other data, including switching and routing apparatus;container
851769;Communication apparatus (excluding telephone sets or base stations): machines for the transmission or reception of voice, images or other data (including wired/wireless networks), n.e.c. in item no. 8517.6;container
851770;Telephone sets and other apparatus for the transmission or reception of voice, images or other data, via a wired or wireless network: parts;container
851810;Microphones and stands therefor;container
851821;Loudspeakers: single, mounted in their enclosures;container
851822;Loudspeakers: multiple, mounted in the same enclosure;container
851829;Loudspeakers: not mounted in their enclosures;container
851830;Headphones and earphones, whether or not combined with a microphone, and sets consisting of a microphone and one or more loudspeakers;container
851840;Amplifiers: audio-frequency electric;container
851850;Amplifier sets: electric sound;container
851890;Microphones, headphones, earphones, amplifier equipment: parts of the equipment of heading no. 8518;container
851920;Sound recording or reproducing apparatus: operated by coins, banknotes, bank cards, tokens or by other means of payment;container
851930;Sound recording or reproducing apparatus: turntables (record-decks);container
851950;Sound recording or reproducing apparatus: telephone answering machines;container
851981;Sound recording or reproducing apparatus: using magnetic, optical or semiconductor media, n.e.c. in item no 8519.20, 8519.30 or 8519.50;container
851989;Sound recording or reproducing apparatus: n.e.c. in heading no 8519;container
852110;Video recording or reproducing apparatus: magnetic tape-type;container
852190;Video recording or reproducing apparatus: other than magnetic tape-type;container
852210;Sound recording or reproducing apparatus: parts and accessories thereof, pick-up cartridges;container
852290;Sound or video recording or reproducing apparatus: parts and accessories thereof, other than pick-up cartridges;container
852321;Magnetic media: cards incorporating a magnetic stripe, whether or not recorded, excluding products of Chapter 37;container
852329;Magnetic media: other than cards incorporating a magnetic stripe, whether or not recorded, excluding products of Chapter 37;container
852341;Optical media: unrecorded, excluding products of Chapter 37;container
852349;Optical media: recorded, excluding products of Chapter 37;container
852351;Semiconductor media: solid-state non-volatile storage devices, whether or not recorded, excluding products of Chapter 37;container
852352;Semiconductor media: smart cards,  whether or not recorded, excluding products of Chapter 37;container
852359;Semiconductor media: other than smart cards, whether or not recorded, excluding products of Chapter 37;container
852380;Media n.e.c. in heading 8523, whether or not recorded, excluding products of Chapter 37;container
852550;Transmission apparatus for radio-broadcasting or television, whether or not incorporating sound recording or reproducing apparatus, not incorporating reception apparatus;container
852560;Transmission apparatus for radio-broadcasting or television, whether or not incorporating sound recording or reproducing apparatus, incorporating reception apparatus;container
852580;Television cameras, digital cameras and video camera recorders;container
852610;Radar apparatus;container
852691;Radio navigational aid apparatus;container
852692;Radio remote control apparatus;container
852712;Radio broadcast receivers capable of operating without an external power source: pocket-size radio cassette-players;container
852713;Radio broadcast receivers capable of operating without an external power source: apparatus (other than pocket-size radio cassette-players), combined with sound recording or reproducing apparatus;container
852719;Radio broadcast receivers capable of operating without an external power source: n.e.c. in item no. 8527.1;container
852721;Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles: combined with sound recording or reproducing apparatus;container
852729;Radio-broadcast receivers not capable of operating without an external source of power, of a kind used in motor vehicles: not combined with sound recording or reproducing apparatus;container
852791;Radio-broadcast receivers n.e.c. in heading no. 8527: combined with sound recording or reproducing apparatus;container
852792;Radio-broadcast receivers n.e.c. in heading no. 8527: not combined with sound recording or reproducing apparatus but combined with a clock;container
852799;Radio-broadcast receivers n.e.c. in heading no. 8527: not combined with sound recording or reproducing apparatus and not combined with a clock;container
852842;Monitors: cathode-ray tube, capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71;container
852849;Monitors: cathode-ray tube, n.e.c. in subheading 8528.42, whether or not colour;container
852852;Monitors: other than cathode-ray tube: capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71;container
852859;Monitors other than cathode-ray tube: n.e.c. in subheading 8528.52, whether or not colour;container
852862;Projectors: capable of directly connecting to and designed for use with an automatic data processing machine of heading 84.71;container
852869;Projectors: n.e.c. in subheading 8528.62, whether or not colour;container
852871;Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: not designed to incorporate a video display or screen;container
852872;Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: incorporating a colour video display or screen;container
852873;Reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus: incorporating a monochrome video display or screen;container
852910;Reception and transmission apparatus: aerials and aerial reflectors of all kinds and parts suitable for use therewith;container
852990;Reception and transmission apparatus: for use with the apparatus of heading no. 8525 to 8528, excluding aerials and aerial reflectors;container
853010;Signalling, safety or traffic control equipment: for railways or tramways (excluding those of heading no. 8608);container
853080;Signalling, safety or traffic control equipment: for roads, inland waterways, parking facilities, port installations or airfields (excluding those of heading no. 8608);container
853090;Signalling apparatus: parts of safety, traffic control equipment for railways, tramways, roads, inland waterways, airfields, parking facilities, port instalments (excluding those of heading no. 8608);container
853110;Signalling apparatus: electric, sound or visual, burglar or fire alarms and similar, other than those of heading no. 8512 or 8530;container
853120;Signalling apparatus: electric, sound or visual, indicator panels incorporating liquid crystal devices (LCD) or light-emitting diodes (LED), excluding those of heading no. 8512 or 8530;container
853180;Signalling apparatus: electric, sound or visual, apparatus n.e.c. in heading no. 8531, excluding those of heading no. 8512 or 8530;container
853190;Signalling apparatus: parts of the electric, sound or visual apparatus of heading no. 8531;container
